source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
64939905830656,45.38633398830811,0.7318745613187453,1.0986699828372806,0.23601769,1.0027641,18.960733,20.170158,17.96665,2.2035084
66451734318592,45.25612031392519,0.7316152972155212,0.9067791816758117,0.13249026,1.0225989,18.225231,19.25395,17.256,1.9979496
66524749266560,45.30820849763855,0.7149807823768897,0.3734709235872963,0.34090444,1.0201831,19.563152,20.0401,19.1535,0.8866005
66554814463616,45.314797846369885,0.7271668460465438,2.321449118044631,1.6201767,1.2621845,20.834793,21.544632,19.737656,1.8069763
67349382956288,45.20630819851983,0.7380825206670917,0.3709812487667315,0.05224413,0.98900056,16.427605,16.702034,15.984982,0.71705246
67551245959552,45.215703392069834,0.7644400820240876,0.6621626017304296,0.22853555,0.92568326,18.847748,19.59435,17.990791,1.6035595
68753837018368,45.40616245269877,0.8068730160833095,3.126576473962522,0.37066227,1.1292738,19.537338,20.885796,18.27449,2.6113052
69136089376256,45.39319607349279,0.8317636350347459,0.8953670203558179,0.0240473,0.9961259,14.785282,15.164869,14.234841,0.93002796
69956427870208,45.37090582597058,0.8515360972675261,0.7927259616056289,0.36566216,1.0941061,19.488224,20.785528,18.415668,2.3698597
70373039955712,44.64534653097758,0.3071061047399555,2.113771508680887,0.061174653,1.0535276,16.526604,17.424345,15.603654,1.8206911
70403104027264,44.65897631487556,0.3228690723202042,0.27913692751542835,1.8932182,1.0094888,20.816565,21.088947,19.77203,1.3169174
70884140332416,44.64034749576734,0.3613941125916899,,,,21.735212,20.222137,18.450554,1.7715836
71571335099904,44.610205956623965,0.3630980804238232,1.1624824928459903,0.13428554,0.96135616,18.153152,19.160255,17.218607,1.9416485
73392401372800,44.75683857837983,0.43202965698987345,3.021984290577845,0.022226231,1.0591636,11.481284,11.764436,11.033488,0.7309475
73568494975232,44.78670469969509,0.46974280696343323,1.3750408707095463,0.47196513,1.0211205,19.795815,20.655016,18.640205,2.0148106
73946452707968,44.67324624179977,0.44252055268620744,5.00590970722068,0.07937947,1.0495545,16.852789,18.147947,15.71925,2.4286976
74388833802752,44.7684187928835,0.4858046810511951,1.7671496935672155,0.15583718,1.0823076,18.070293,19.239391,17.028198,2.211193
74698071455360,44.726458253515965,0.5112728869230602,14.863119849432609,0.21610634,0.90474904,18.841656,19.198263,18.469217,0.72904587
75316546618880,44.60382411949524,0.415949869497528,,,,20.989609,21.26466,19.879742,1.3849182
75561360607616,44.62851936040695,0.46052124416010937,,,,20.390816,19.098751,17.552036,1.5467148
75763224672512,44.61488655605708,0.47134226540787005,,,,20.947498,21.8824,19.859694,2.022707
76416058249344,44.5623284956025,0.4614272778235103,0.9735388644208903,0.89588815,1.1323365,20.422462,21.388483,19.790575,1.597908
76725295896320,44.54968041841693,0.4818648193864477,0.8350003426198596,0.89743143,0.96115726,20.595457,21.982248,19.760485,2.2217636
77343771157504,44.62440818658419,0.4991860174571404,0.7730685544622032,0.3822671,0.89111423,19.754148,20.200268,19.22009,0.9801769
77588584561408,44.68036101130271,0.4980466749817933,,,,20.740759,21.412613,19.850138,1.5624752
80303003888128,44.79131132075035,0.4947113459380141,0.5572912825069807,0.84267014,1.0396847,20.546843,22.11246,19.479826,2.6326332
81329500982272,44.8290676315966,0.5913573212936927,0.342254090654937,0.33476618,1.0776199,19.183765,19.648228,18.700409,0.94781876
82708185654272,44.89120798192757,0.6044636418094381,2.5871750842542642,1.3472035,1.299309,20.739838,21.194874,19.328922,1.8659515
84250078742144,44.796781745562285,0.5858806642615326,-0.020281602393312,0.13522707,1.0084492,17.840672,18.155357,17.371758,0.78359985
85487029339264,44.71024798713287,0.6297605846939169,-0.13139786362536326,0.23652261,0.9002397,18.71637,19.105415,18.046911,1.0585041
85968065676928,44.84074967029279,0.6315323111417239,2.7421370783640477,0.062290836,1.0285423,16.485058,17.57903,15.452832,2.1261969
86174224111488,44.817878032194116,0.6459519212085894,0.706471676981758,0.7575658,1.0854053,20.248009,20.601494,19.663105,0.9383888
87514253927168,44.82100097212917,0.703698708397564,-0.28637162131256316,0.36938888,1.0958872,19.27838,19.904099,18.612999,1.2910995
87651693184000,44.84876576810775,0.7151901933360475,1.3134746568757125,0.62118345,1.0273154,19.736176,20.67627,18.786093,1.8901768
88171384394240,44.483572515265365,0.4928690063647603,0.18353683977241092,0.16997135,1.0236112,18.456242,18.708961,18.092093,0.616869
88441966650880,44.460500888327964,0.5018801625905609,0.25856092095009237,0.21882193,0.9783141,18.687737,19.330006,17.94169,1.3883152
89683213076992,44.47083260106611,0.5416667626046738,0.8267780996271005,0.4441306,1.0754882,19.66558,20.322294,18.92364,1.3986549
92805653429888,44.395510722220735,0.5813314552766865,1.8287972328397752,0.28119498,0.96279866,18.92389,20.004358,17.76264,2.2417183
97998269560192,44.62570723962393,0.6698155026272286,0.5764706116452717,0.07538903,1.0043765,16.992327,17.435019,16.416044,1.0189743
98754183803776,44.62290407060701,0.7105349420321087,0.26329233293856674,0.07822214,1.1804576,16.637049,16.956959,16.160923,0.79603577
98784248116992,44.620001934374976,0.7171987494871594,1.8568194880691038,0.15174174,1.0743374,17.980509,19.471748,16.786352,2.6853962
98956046794752,44.73702206160075,0.6765813447319878,0.40380395703112004,0.27326357,1.0494409,19.050451,19.845743,18.264818,1.580925
99784975952896,44.755025129786254,0.737815611450093,0.3520851778043701,0.084621586,0.96748376,17.110899,17.473694,16.591808,0.8818855
100605314265600,44.73728225066303,0.7539330257924621,-0.8486221408270707,0.7688505,1.038996,20.20882,20.424734,19.789381,0.6353531
100605314266880,44.735689363537645,0.7561767560454214,,,,21.153915,19.797247,18.264488,1.5327587
101017631138176,44.738990060568135,0.7881903405949481,,,,20.440605,17.968748,16.448154,1.5205936
101910984317184,44.61484710098627,0.7388242459219145,0.8868068290646688,0.09915781,1.0351437,17.346144,17.931644,16.62232,1.3093243
102392020651008,44.54057970348216,0.7297195779793614,,,,20.268925,19.589037,18.018602,1.5704346
105724915238272,45.033682159305116,0.6311519396745474,0.5548616312413213,0.12543388,1.0277551,17.701975,18.324886,16.966686,1.3582001
107717780311424,45.00174853052044,0.7404142041271077,0.9255179979979491,0.72597414,1.0483011,20.40123,21.286379,19.50729,1.779089
107923938519680,45.1265233598231,0.7085241843639095,-0.7029369944114809,0.6303119,1.0386087,20.174967,20.276657,19.623787,0.6528702
108031313244160,45.05700047420575,0.6981529928031238,1.0168216235240612,0.03926398,1.0490558,15.580296,16.04806,14.957322,1.0907373
108611133301888,45.11688299840165,0.7473185014740856,4.966812448829856,0.11304539,0.8817164,17.771564,19.260794,16.570704,2.6900902
110432199427456,44.906524774073254,0.7266305428473924,0.6827146261150961,0.17638955,0.9627005,18.249598,19.066153,17.311573,1.7545795
111600431280000,44.9181131223966,0.7584840146284675,0.6154961998416683,0.47355044,1.075301,19.669817,20.090796,18.932571,1.1582241
1786706818304,45.029202891434686,0.10384332050094827,1.4673470421782204,1.0003422,1.1037995,20.666782,21.087275,19.255568,1.831707
2920577765120,45.16465301804705,0.15450004311408183,0.5882438516598322,0.037536845,1.0649366,15.303216,15.681768,14.76187,0.91989803
3676493398016,45.0199545938051,0.16376864324903548,1.3929384502369668,0.3031668,1.0062387,19.425993,21.254166,18.143595,3.110571
5364414963072,44.95147391685065,0.15677228717027372,0.8895078663136681,0.07551384,1.0307543,17.179367,17.811176,16.44307,1.3681068
6150393333888,44.91828613793,0.17799741520058932,0.007214229018006113,0.45482218,1.0826559,19.908274,20.395185,19.518785,0.8764
8044474553216,44.92766579120339,0.21912825046951404,1.6489852740782946,0.029003253,1.1112348,14.947446,15.464661,14.277565,1.1870956
8899172274944,45.18061695141719,0.17647643048328493,2.7041374664903652,0.36405435,1.0509686,19.272629,20.700031,18.03927,2.6607609
8933531981952,45.193593253748666,0.17732527243102655,0.17392641357923974,0.20214882,0.9735944,18.555439,18.973345,18.074387,0.8989582
9174050151040,45.15280203040574,0.20037746381715524,1.8677256506326179,0.09563314,1.0428259,17.252138,18.383474,16.211985,2.1714897
10892037246720,45.18857525358218,0.28242442525431893,0.0016301676623204295,0.24633229,0.97465664,18.78724,19.080688,18.240915,0.8397732
11063835762560,45.248740453912625,0.24030721275339623,-0.3379894324679252,0.40283376,1.0713103,19.263887,19.611774,18.749506,0.86226845
11205570510720,45.26535441494338,0.2618050172237208,1.8329334600498823,0.085663445,0.88493884,16.955458,17.943514,15.949937,1.993577
11544872099968,45.3055486277029,0.2640002235078364,0.5062187278348897,0.24394566,0.9868443,18.630215,19.53861,17.671104,1.867506
12678743467648,45.274776198204016,0.3148492207391018,0.05592795040696492,0.22577567,0.97617924,18.594732,19.000525,18.096338,0.90418625
12816182422272,45.3003912516474,0.3390960049597261,1.2392815368877579,0.31523678,1.2839267,18.895056,19.971115,17.939901,2.0312138
13640816315008,45.10294234541993,0.2770430829337774,0.5223970791366362,0.07810591,1.1359631,16.766909,17.138115,16.17979,0.95832443
15083925943168,45.10037162059168,0.345688604146177,-0.17768906060693418,1.2336849,1.1210562,20.606209,20.88304,19.520079,1.3629608
15255724030336,45.08431318764215,0.33924572027694677,,,,20.97521,21.480953,20.356985,1.1239681
16011638278912,45.21060162891327,0.35420090415756467,6.074725869812678,0.08343153,0.95504236,16.829012,18.262367,15.659667,2.6027002
